tenure,monthly_charges,total_charges,contract_type,tech_support,internet_service,payment_method,num_support_calls,senior_citizen,paperless_billing,churn
55,61.36,3174.66,Two year,Yes,Fiber optic,Electronic check,0,0,No,0
64,69.29,4295.72,Month-to-month,Yes,DSL,Bank transfer,1,0,No,0
3,60.43,168.66,One year,Yes,Fiber optic,Mailed check,2,0,No,0
51,73.09,3517.16,Month-to-month,No,DSL,Mailed check,3,0,Yes,0
7,79.51,550.76,Month-to-month,No,Fiber optic,Credit card,1,0,Yes,1
21,20.99,438.58,One year,Yes,Fiber optic,Electronic check,0,0,Yes,0
39,66.41,2517.16,One year,Yes,No,Mailed check,2,0,No,0
18,116.35,1963.27,One year,No,DSL,Bank transfer,2,1,No,0
4,71.9,282.42,Month-to-month,No,DSL,Mailed check,1,0,Yes,1
60,87.75,4752.12,Month-to-month,No,Fiber optic,Credit card,0,0,No,0
14,51.19,652.36,Month-to-month,No,No,Credit card,1,0,No,1
9,97.4,846.92,Two year,No,No,Electronic check,2,0,Yes,1
53,97.29,4790.91,Month-to-month,No,DSL,Bank transfer,0,0,No,1
2,72.13,143.56,Month-to-month,No,DSL,Bank transfer,4,0,Yes,1
60,117.6,6658.08,Month-to-month,No,Fiber optic,Mailed check,0,0,No,0
71,32.56,2179.84,One year,Yes,DSL,Bank transfer,4,1,Yes,0
44,21.69,923.64,Month-to-month,Yes,DSL,Mailed check,3,0,Yes,0
8,97.02,758.12,Two year,Yes,DSL,Mailed check,1,0,Yes,0
47,100.72,4485.58,Month-to-month,No,Fiber optic,Electronic check,0,0,No,1
35,32.02,1032.61,Two year,No,No,Bank transfer,1,1,No,1
36,46.56,1638.16,Month-to-month,No,No,Credit card,1,0,Yes,1
50,21.76,1014.05,One year,Yes,Fiber optic,Mailed check,3,0,No,0
4,49.33,181.04,Two year,No,Fiber optic,Mailed check,3,1,No,0
2,97.31,187.45,Month-to-month,No,No,Mailed check,0,1,No,1
6,71.8,391.62,Two year,Yes,DSL,Bank transfer,1,0,Yes,0
54,54.81,2951.26,Month-to-month,No,Fiber optic,Bank transfer,2,0,Yes,1
4,57.17,220.27,Two year,No,Fiber optic,Bank transfer,1,0,No,1
54,20.14,1086.03,One year,No,DSL,Mailed check,3,0,Yes,1
63,49.98,2940.57,Month-to-month,No,Fiber optic,Credit card,2,0,Yes,1
18,84.65,1519.31,Month-to-month,No,DSL,Credit card,2,0,Yes,1
44,117.42,4725.04,Month-to-month,No,Fiber optic,Bank transfer,0,0,Yes,1
34,104.71,3218.61,Month-to-month,No,DSL,Credit card,1,0,Yes,0
62,22.36,1252.26,Month-to-month,No,DSL,Mailed check,2,1,No,1
14,109.86,1455.73,Month-to-month,Yes,DSL,Bank transfer,1,0,Yes,1
48,98.32,4286.6,Month-to-month,No,No,Bank transfer,1,0,Yes,0
15,98.04,1398.86,One year,Yes,Fiber optic,Mailed check,1,1,Yes,0
62,65.8,3805.25,Month-to-month,Yes,Fiber optic,Bank transfer,6,0,No,1
40,59.8,2233.08,Month-to-month,No,Fiber optic,Mailed check,0,0,No,0
53,50.29,2568.25,One year,No,Fiber optic,Bank transfer,0,0,No,1
24,26.57,584.31,Month-to-month,No,DSL,Credit card,2,0,Yes,0
26,42.82,1087.33,Month-to-month,Yes,Fiber optic,Bank transfer,5,0,Yes,0
60,44.66,2567.6,Month-to-month,Yes,DSL,Bank transfer,1,0,No,0
41,68.41,2780.95,Two year,Yes,DSL,Bank transfer,1,0,No,0
29,94.74,2572.95,Two year,Yes,Fiber optic,Electronic check,3,0,No,0
15,67.38,1008.95,Month-to-month,No,DSL,Credit card,1,0,Yes,1
45,25.78,1110.89,One year,Yes,DSL,Mailed check,0,0,Yes,0
65,115.78,7505.68,Month-to-month,No,Fiber optic,Electronic check,1,0,Yes,1
71,114.27,7323.81,One year,Yes,Fiber optic,Credit card,0,0,No,0
9,98.52,862.56,One year,No,Fiber optic,Bank transfer,1,1,Yes,1
1,119.13,116.95,One year,Yes,Fiber optic,Bank transfer,3,0,Yes,0
8,74.45,539.21,Month-to-month,Yes,Fiber optic,Mailed check,1,0,Yes,0
63,116.28,7017.21,Month-to-month,Yes,Fiber optic,Mailed check,2,0,Yes,1
11,27.56,297.16,Month-to-month,No,DSL,Credit card,2,0,Yes,0
8,56.57,432.69,Two year,No,DSL,Credit card,2,0,Yes,0
35,42.54,1349.51,One year,No,Fiber optic,Mailed check,1,0,No,1
35,39.58,1342.83,Two year,No,DSL,Credit card,2,0,Yes,0
33,34.08,1018.99,Two year,Yes,No,Mailed check,1,0,Yes,0
5,82.24,403.69,Month-to-month,No,No,Bank transfer,0,0,Yes,0
41,98.13,3638.31,One year,No,DSL,Mailed check,0,0,Yes,0
28,77.83,1991.26,One year,Yes,DSL,Electronic check,3,0,No,0
7,34.7,225.29,Two year,Yes,DSL,Mailed check,2,0,Yes,0
12,101.11,1168.84,Two year,Yes,DSL,Mailed check,1,1,No,0
34,83.6,2835.68,One year,Yes,DSL,Electronic check,0,0,Yes,0
33,58.82,1769.82,Month-to-month,No,Fiber optic,Electronic check,2,1,No,0
48,87.41,3835.99,One year,Yes,No,Electronic check,1,0,Yes,0
23,45.99,991.01,Month-to-month,Yes,Fiber optic,Electronic check,1,0,Yes,0
62,54.52,3324.88,One year,Yes,DSL,Mailed check,1,0,No,0
37,111.75,3914.46,Two year,No,Fiber optic,Credit card,2,0,Yes,0
44,49.05,2011.79,Month-to-month,No,Fiber optic,Electronic check,3,0,Yes,1
35,67.0,2242.1,One year,Yes,No,Bank transfer,3,0,No,0
65,109.01,6561.68,Month-to-month,Yes,No,Mailed check,0,0,Yes,0
47,90.77,4010.71,Month-to-month,Yes,No,Credit card,2,0,Yes,1
3,26.22,73.41,Month-to-month,No,Fiber optic,Bank transfer,3,0,Yes,1
1,34.73,34.05,One year,Yes,Fiber optic,Mailed check,3,1,No,0
5,20.78,103.11,Two year,No,DSL,Mailed check,2,0,No,1
14,83.09,1135.29,Two year,No,Fiber optic,Bank transfer,1,0,Yes,0
27,64.77,1650.7,Month-to-month,No,DSL,Electronic check,2,0,Yes,0
9,33.43,285.96,Two year,Yes,Fiber optic,Electronic check,2,1,Yes,0
15,115.79,1584.89,One year,No,Fiber optic,Bank transfer,1,0,Yes,0
42,72.97,2987.16,Month-to-month,No,DSL,Credit card,1,0,No,1
51,44.19,2162.75,Month-to-month,Yes,DSL,Electronic check,1,0,Yes,1
63,70.06,4370.72,Month-to-month,Yes,DSL,Mailed check,3,0,Yes,1
52,87.96,4208.29,Two year,Yes,DSL,Mailed check,1,0,No,0
4,27.62,107.83,One year,Yes,DSL,Credit card,0,0,No,0
23,47.47,1057.38,One year,Yes,DSL,Mailed check,1,0,No,0
15,100.7,1399.61,Month-to-month,No,DSL,Electronic check,5,0,No,1
43,65.97,2742.35,One year,No,DSL,Credit card,0,0,No,0
29,74.66,2148.77,Month-to-month,No,No,Electronic check,0,0,Yes,1
36,63.28,2259.5,Month-to-month,Yes,DSL,Credit card,1,0,Yes,1
13,24.39,308.18,One year,No,DSL,Bank transfer,3,0,Yes,0
32,36.57,1058.84,Month-to-month,Yes,Fiber optic,Mailed check,1,1,Yes,1
71,64.55,4524.51,Two year,No,No,Credit card,1,0,No,0
59,40.92,2331.66,Month-to-month,Yes,Fiber optic,Bank transfer,1,0,Yes,1
28,25.0,651.73,One year,Yes,DSL,Electronic check,0,0,Yes,0
66,104.36,6327.96,Month-to-month,No,Fiber optic,Bank transfer,1,0,Yes,1
42,118.12,4522.59,One year,Yes,Fiber optic,Electronic check,1,0,Yes,1
45,99.31,4044.51,Month-to-month,No,Fiber optic,Credit card,1,0,No,1
62,105.38,6372.9,Month-to-month,No,Fiber optic,Credit card,1,0,No,0
57,44.2,2326.88,Two year,No,No,Mailed check,1,0,Yes,0
6,116.06,628.41,Month-to-month,No,No,Mailed check,0,0,Yes,1
28,39.69,1044.34,Two year,No,Fiber optic,Credit card,1,0,No,0
28,115.14,3057.12,Two year,Yes,Fiber optic,Electronic check,1,0,No,1
44,119.48,4820.37,Month-to-month,No,Fiber optic,Electronic check,1,0,Yes,1
30,91.17,2473.64,Month-to-month,No,No,Credit card,1,0,No,1
62,118.11,6729.03,One year,Yes,DSL,Electronic check,4,0,No,0
62,76.95,4617.8,Two year,Yes,No,Credit card,0,0,No,0
1,45.95,41.73,Two year,No,DSL,Mailed check,0,1,No,0
27,63.7,1643.37,Month-to-month,No,Fiber optic,Electronic check,1,0,No,1
62,79.36,4500.33,One year,No,No,Mailed check,0,0,Yes,1
3,27.31,75.34,Month-to-month,Yes,DSL,Bank transfer,1,0,No,1
70,82.23,5406.75,Two year,No,Fiber optic,Mailed check,0,0,No,0
27,118.12,2902.47,Two year,Yes,DSL,Bank transfer,2,1,No,0
9,39.01,322.06,Month-to-month,No,Fiber optic,Mailed check,2,0,No,0
62,99.26,5753.46,Month-to-month,No,DSL,Mailed check,1,0,Yes,0
37,110.79,3824.45,Month-to-month,Yes,Fiber optic,Electronic check,1,0,Yes,1
51,114.37,5686.62,Month-to-month,No,Fiber optic,Mailed check,0,0,Yes,0
44,116.01,4632.17,Two year,No,No,Credit card,0,0,No,0
24,72.15,1707.44,Month-to-month,No,No,Electronic check,3,0,Yes,0
59,117.73,6818.42,Month-to-month,No,DSL,Electronic check,3,0,Yes,1
32,95.73,2991.67,Month-to-month,No,Fiber optic,Electronic check,1,0,Yes,1
52,36.17,1750.94,Two year,No,DSL,Mailed check,0,0,No,0
62,67.69,4122.45,One year,Yes,DSL,Electronic check,3,0,No,0
58,91.83,4890.89,Month-to-month,Yes,DSL,Bank transfer,2,1,No,0
52,44.73,2122.3,Month-to-month,Yes,No,Bank transfer,0,0,No,0
12,84.06,912.38,Two year,No,No,Mailed check,3,1,Yes,0
39,86.66,3359.23,Two year,No,DSL,Electronic check,0,0,No,0
2,36.27,67.52,Month-to-month,Yes,DSL,Credit card,2,0,Yes,1
3,76.51,227.64,Month-to-month,No,DSL,Credit card,2,0,Yes,0
56,97.16,5045.19,Month-to-month,No,Fiber optic,Bank transfer,0,0,No,0
59,69.89,4085.39,Month-to-month,No,Fiber optic,Mailed check,2,0,No,1
2,21.21,42.01,One year,Yes,DSL,Mailed check,3,0,No,0
2,20.9,41.48,Two year,No,Fiber optic,Mailed check,1,0,Yes,0
54,55.7,2856.25,Month-to-month,Yes,DSL,Mailed check,0,0,Yes,0
1,112.62,111.11,Two year,Yes,No,Mailed check,1,0,Yes,0
19,42.87,810.52,Month-to-month,No,Fiber optic,Electronic check,3,1,Yes,1
2,83.44,155.61,One year,Yes,Fiber optic,Electronic check,3,0,Yes,0
53,42.21,2107.12,One year,Yes,Fiber optic,Electronic check,5,0,Yes,0
44,52.17,2231.03,Month-to-month,No,No,Credit card,2,0,Yes,0
32,104.8,3118.97,Month-to-month,Yes,DSL,Electronic check,1,0,No,0
70,92.89,6342.22,One year,No,DSL,Mailed check,2,0,No,0
32,29.54,857.74,Month-to-month,Yes,No,Mailed check,3,0,No,1
68,62.87,4071.45,Month-to-month,Yes,DSL,Credit card,2,0,No,0
55,22.92,1149.96,Month-to-month,Yes,DSL,Credit card,2,0,Yes,0
56,68.09,3543.58,Two year,Yes,Fiber optic,Bank transfer,1,0,No,0
17,86.24,1357.39,Month-to-month,No,No,Credit card,1,0,Yes,1
38,31.85,1190.81,Two year,No,Fiber optic,Bank transfer,1,0,Yes,1
24,48.89,1078.73,Month-to-month,No,No,Electronic check,3,0,Yes,0
69,59.78,4045.81,One year,No,Fiber optic,Mailed check,0,0,Yes,0
70,111.95,7675.04,One year,Yes,DSL,Bank transfer,0,0,No,0
11,119.33,1246.85,Two year,No,Fiber optic,Bank transfer,3,0,Yes,1
16,24.49,361.82,Month-to-month,No,Fiber optic,Bank transfer,3,0,No,1
59,96.1,5231.56,One year,No,DSL,Credit card,3,1,No,0
70,57.17,3787.77,One year,Yes,DSL,Credit card,1,0,Yes,0
3,59.25,160.13,Month-to-month,No,DSL,Credit card,1,1,Yes,0
20,95.43,1819.15,Month-to-month,No,Fiber optic,Bank transfer,0,1,No,1
59,111.84,6567.4,Month-to-month,Yes,No,Electronic check,1,0,Yes,0
36,115.09,3793.01,Month-to-month,No,Fiber optic,Mailed check,0,0,Yes,1
19,77.71,1413.49,Two year,Yes,No,Credit card,1,0,No,0
67,55.71,3718.3,Month-to-month,No,DSL,Electronic check,3,0,No,0
19,98.75,1850.08,Month-to-month,No,No,Credit card,3,1,No,0
20,45.1,888.5,One year,No,No,Credit card,2,0,Yes,0
71,76.41,5328.46,Month-to-month,No,DSL,Bank transfer,0,1,Yes,0
52,55.86,2704.01,Month-to-month,Yes,No,Bank transfer,2,0,Yes,0
33,85.66,2795.86,Month-to-month,No,DSL,Credit card,1,0,Yes,0
40,44.04,1751.27,Two year,No,No,Mailed check,1,0,Yes,0
39,39.16,1450.24,Two year,Yes,No,Credit card,2,0,Yes,0
1,111.82,104.6,Two year,No,Fiber optic,Mailed check,2,0,No,1
11,30.18,312.53,Month-to-month,No,Fiber optic,Electronic check,3,0,No,1
57,70.6,3756.27,One year,Yes,DSL,Credit card,0,1,No,0
50,42.09,1938.75,Month-to-month,Yes,Fiber optic,Mailed check,1,0,No,1
23,23.89,528.5,Month-to-month,Yes,Fiber optic,Electronic check,0,1,Yes,1
31,23.6,699.6,Month-to-month,No,Fiber optic,Electronic check,3,1,Yes,1
42,37.52,1491.15,One year,No,Fiber optic,Bank transfer,1,0,No,0
7,106.68,679.24,Month-to-month,No,No,Electronic check,0,0,No,1
16,48.25,756.32,Month-to-month,No,DSL,Bank transfer,0,0,Yes,1
60,115.05,6333.46,Month-to-month,No,No,Electronic check,1,0,Yes,1
2,78.16,142.48,Month-to-month,No,No,Electronic check,2,0,No,1
1,63.66,61.26,One year,Yes,Fiber optic,Mailed check,0,0,Yes,0
48,78.01,3519.3,Month-to-month,No,DSL,Mailed check,3,1,Yes,0
12,71.67,779.18,One year,No,DSL,Bank transfer,1,0,Yes,0
69,95.88,6189.38,Month-to-month,No,DSL,Credit card,3,0,No,1
37,48.25,1744.51,Two year,No,Fiber optic,Mailed check,1,1,Yes,1
32,55.31,1701.82,One year,Yes,Fiber optic,Electronic check,0,0,No,0
9,109.41,921.94,Month-to-month,No,No,Bank transfer,3,0,Yes,1
19,114.65,2002.3,Month-to-month,Yes,Fiber optic,Bank transfer,2,0,Yes,1
48,109.26,5051.38,One year,No,DSL,Bank transfer,1,0,No,0
3,61.94,183.73,Two year,Yes,Fiber optic,Electronic check,2,0,Yes,0
20,98.04,1891.44,Month-to-month,No,No,Mailed check,2,1,Yes,0
24,67.63,1592.75,Month-to-month,Yes,No,Credit card,3,0,Yes,0
54,69.75,3586.28,Two year,Yes,No,Bank transfer,1,0,No,0
33,40.47,1297.84,One year,Yes,Fiber optic,Electronic check,1,0,Yes,0
24,79.11,1878.94,Month-to-month,Yes,Fiber optic,Mailed check,0,0,Yes,0
36,38.61,1358.43,Month-to-month,Yes,No,Mailed check,2,1,No,0
38,53.16,2001.87,Month-to-month,No,Fiber optic,Credit card,4,0,Yes,0
25,105.5,2487.46,One year,No,DSL,Bank transfer,1,0,Yes,0
18,40.71,725.76,Month-to-month,Yes,DSL,Electronic check,3,1,No,0
66,27.12,1722.18,Two year,Yes,DSL,Mailed check,1,0,Yes,0
54,26.9,1433.72,Month-to-month,No,Fiber optic,Electronic check,1,0,Yes,1
35,114.08,3609.24,Month-to-month,No,DSL,Mailed check,2,0,No,0
61,70.69,4164.55,One year,No,DSL,Bank transfer,2,0,No,0
41,60.94,2460.56,Two year,No,DSL,Bank transfer,0,0,Yes,0
33,101.09,3060.49,Two year,Yes,Fiber optic,Credit card,3,0,Yes,0
68,103.58,6805.22,Month-to-month,Yes,Fiber optic,Mailed check,1,0,No,0
33,53.22,1725.52,One year,Yes,Fiber optic,Electronic check,3,0,Yes,0
14,89.36,1161.96,One year,No,DSL,Mailed check,3,1,Yes,1
21,97.11,1918.02,Month-to-month,No,DSL,Electronic check,2,0,Yes,1
48,85.47,3925.95,Month-to-month,No,Fiber optic,Credit card,2,0,No,0
20,35.16,669.39,Month-to-month,Yes,DSL,Mailed check,1,1,Yes,1
8,107.59,778.02,Month-to-month,Yes,DSL,Bank transfer,2,0,No,0
7,73.91,470.74,Two year,Yes,DSL,Electronic check,2,0,No,1
67,48.25,2941.95,Month-to-month,No,No,Bank transfer,2,0,Yes,0
17,62.52,984.43,Two year,Yes,Fiber optic,Credit card,1,1,Yes,0
33,23.76,724.95,Month-to-month,No,DSL,Credit card,1,1,No,1
48,32.79,1533.35,One year,Yes,DSL,Electronic check,2,0,Yes,0
59,96.55,5453.07,Month-to-month,No,No,Mailed check,1,1,Yes,0
22,20.0,429.61,Month-to-month,No,Fiber optic,Bank transfer,4,0,No,1
30,61.66,1677.75,Month-to-month,No,Fiber optic,Bank transfer,2,1,Yes,1
38,72.25,2604.17,Month-to-month,No,Fiber optic,Electronic check,3,0,Yes,1
51,25.46,1210.65,One year,No,Fiber optic,Electronic check,1,0,Yes,1
54,117.31,6239.68,Month-to-month,No,Fiber optic,Electronic check,0,0,Yes,0
8,42.61,330.92,One year,No,Fiber optic,Credit card,2,0,Yes,1
27,50.42,1343.54,Month-to-month,No,Fiber optic,Credit card,1,0,No,1
27,50.39,1230.79,Month-to-month,No,DSL,Bank transfer,3,0,No,1
21,43.04,878.61,Month-to-month,No,No,Mailed check,3,0,Yes,1
30,20.15,576.69,Two year,No,Fiber optic,Electronic check,0,0,Yes,0
28,92.93,2556.5,One year,No,DSL,Credit card,0,0,Yes,0
64,116.68,7099.49,Month-to-month,Yes,No,Mailed check,0,0,Yes,1
69,42.43,2793.06,Month-to-month,Yes,No,Electronic check,5,0,Yes,1
61,86.3,4765.12,Month-to-month,No,No,Mailed check,4,1,Yes,1
48,94.19,4371.26,Two year,No,No,Electronic check,3,0,No,0
19,104.84,1847.17,One year,No,No,Mailed check,1,0,Yes,0
4,62.26,224.63,Month-to-month,No,DSL,Bank transfer,1,1,Yes,0
35,50.29,1595.83,One year,No,No,Electronic check,2,0,Yes,1
64,52.53,3347.56,Month-to-month,No,No,Electronic check,1,0,Yes,0
49,91.26,4179.32,Two year,Yes,DSL,Bank transfer,0,0,No,0
17,101.68,1705.76,Month-to-month,No,DSL,Electronic check,1,0,Yes,1
44,38.16,1672.27,One year,No,No,Electronic check,1,0,No,0
30,57.09,1702.98,Month-to-month,Yes,DSL,Credit card,0,0,Yes,0
46,110.19,5008.79,One year,No,No,Bank transfer,2,0,No,0
6,100.67,597.67,One year,No,DSL,Credit card,3,0,No,0
37,118.49,4072.42,One year,Yes,DSL,Bank transfer,2,0,Yes,0
24,95.42,2095.76,One year,Yes,Fiber optic,Mailed check,6,0,Yes,0
46,59.32,2630.28,Two year,No,DSL,Bank transfer,2,0,No,0
53,79.06,3975.69,Month-to-month,Yes,Fiber optic,Bank transfer,2,0,Yes,0
60,86.1,4700.41,Month-to-month,Yes,Fiber optic,Credit card,5,1,No,0
63,27.85,1697.97,Month-to-month,Yes,DSL,Electronic check,2,0,Yes,0
32,74.45,2278.26,Two year,No,DSL,Bank transfer,1,1,Yes,0
33,90.93,2959.6,Month-to-month,No,Fiber optic,Electronic check,1,0,Yes,0
67,36.73,2364.73,One year,No,DSL,Bank transfer,2,0,No,0
18,98.06,1689.88,One year,Yes,Fiber optic,Credit card,0,0,Yes,0
25,78.38,1849.92,Month-to-month,No,Fiber optic,Bank transfer,3,0,Yes,1
54,115.22,5887.63,Month-to-month,Yes,DSL,Mailed check,3,1,Yes,0
58,24.24,1399.51,Month-to-month,Yes,Fiber optic,Bank transfer,1,0,Yes,1
67,46.53,2848.92,Month-to-month,No,DSL,Bank transfer,1,0,Yes,1
46,80.16,3483.16,Month-to-month,Yes,DSL,Electronic check,3,0,Yes,1
24,49.66,1150.82,Month-to-month,No,DSL,Electronic check,3,0,No,0
32,91.44,2760.17,Two year,No,No,Mailed check,1,0,No,1
47,95.9,4184.22,Two year,Yes,No,Bank transfer,1,1,Yes,0
23,30.25,646.17,Month-to-month,No,No,Electronic check,3,0,Yes,1
66,71.39,4350.66,Month-to-month,No,DSL,Bank transfer,3,1,Yes,0
27,70.89,1788.45,Month-to-month,No,DSL,Credit card,0,0,No,0
2,56.93,112.4,One year,Yes,Fiber optic,Credit card,1,0,Yes,0
17,113.29,1830.64,Two year,No,Fiber optic,Mailed check,3,0,Yes,0
33,102.75,3133.13,Month-to-month,Yes,No,Credit card,1,0,Yes,0
9,89.72,757.78,Month-to-month,No,DSL,Electronic check,3,0,No,0
43,91.43,3579.95,One year,Yes,DSL,Electronic check,0,0,No,1
48,66.17,3145.68,One year,No,Fiber optic,Mailed check,1,0,Yes,0
39,112.1,4113.17,Month-to-month,Yes,No,Bank transfer,3,0,Yes,0
42,89.46,3749.95,One year,Yes,No,Electronic check,0,0,Yes,0
26,92.9,2257.8,Month-to-month,No,Fiber optic,Credit card,3,0,Yes,1
50,106.17,5221.63,Month-to-month,No,No,Electronic check,0,0,Yes,0
25,47.41,1097.11,One year,No,Fiber optic,Mailed check,1,0,No,1
24,100.71,2193.74,Two year,No,No,Credit card,2,0,Yes,0
13,39.52,464.01,Month-to-month,Yes,No,Credit card,0,0,No,1
60,54.53,3142.95,Two year,No,No,Credit card,0,0,Yes,1
7,53.56,349.11,Month-to-month,No,DSL,Mailed check,0,0,No,0
57,117.85,6343.64,One year,Yes,DSL,Mailed check,1,0,Yes,0
36,105.65,3734.42,Month-to-month,No,Fiber optic,Bank transfer,2,0,Yes,1
45,90.12,3750.48,Two year,No,Fiber optic,Bank transfer,1,0,No,0
20,92.71,1726.01,Two year,No,No,Bank transfer,1,0,Yes,0
65,76.21,4877.03,Month-to-month,No,DSL,Mailed check,0,0,Yes,0
8,114.71,871.13,Two year,No,DSL,Credit card,0,0,No,0
16,69.63,1094.88,Two year,Yes,Fiber optic,Credit card,2,0,Yes,0
14,58.05,761.86,One year,Yes,DSL,Electronic check,2,0,Yes,0
15,36.3,511.74,Month-to-month,No,DSL,Bank transfer,4,0,No,1
66,98.62,5966.82,Two year,Yes,Fiber optic,Credit card,0,0,No,0
32,93.44,2965.07,Two year,Yes,Fiber optic,Credit card,5,0,No,1
63,58.44,3643.72,Month-to-month,No,DSL,Credit card,3,0,Yes,0
51,22.52,1146.71,Two year,No,No,Credit card,2,0,No,0
25,103.9,2442.29,Month-to-month,Yes,Fiber optic,Mailed check,3,0,No,0
58,21.14,1203.88,Month-to-month,No,No,Bank transfer,1,0,No,0
63,90.37,5360.23,Month-to-month,No,Fiber optic,Credit card,1,0,No,0
62,117.03,6859.91,One year,Yes,DSL,Credit card,2,0,Yes,0
22,63.77,1379.09,One year,No,DSL,Credit card,3,1,Yes,1
58,43.5,2315.45,Month-to-month,No,DSL,Credit card,1,0,No,1
58,90.49,4839.21,Two year,No,Fiber optic,Electronic check,2,1,No,1
49,101.71,4642.26,Month-to-month,No,DSL,Credit card,2,0,Yes,1
52,74.64,3799.07,Month-to-month,Yes,Fiber optic,Credit card,1,0,No,1
42,116.7,4593.91,Month-to-month,No,Fiber optic,Credit card,3,0,No,0
70,25.17,1648.82,One year,Yes,DSL,Electronic check,3,0,No,0
15,70.48,1057.07,Two year,No,DSL,Mailed check,3,0,No,0
54,91.85,4654.27,One year,No,Fiber optic,Electronic check,5,0,No,0
60,106.26,5896.01,Two year,No,No,Credit card,2,0,No,0
8,37.93,292.01,Month-to-month,Yes,DSL,Mailed check,0,0,No,1
53,100.0,5195.0,Month-to-month,Yes,DSL,Credit card,2,0,Yes,0
60,75.27,4096.02,Month-to-month,Yes,No,Mailed check,1,0,Yes,0
5,59.66,286.93,Month-to-month,No,DSL,Credit card,0,0,Yes,1
68,33.17,2038.06,Month-to-month,Yes,No,Credit card,2,0,Yes,0
6,106.53,608.9,One year,No,DSL,Mailed check,2,0,Yes,1
47,35.73,1554.54,Month-to-month,Yes,No,Mailed check,2,0,No,0
55,50.98,2609.49,One year,No,DSL,Credit card,3,0,No,0
40,49.0,1855.55,Month-to-month,Yes,No,Electronic check,0,0,Yes,0
52,107.14,5530.67,Month-to-month,No,DSL,Electronic check,3,0,No,1
16,87.27,1355.92,One year,No,Fiber optic,Electronic check,0,0,Yes,1
13,99.67,1287.53,Month-to-month,No,DSL,Electronic check,1,0,Yes,1
30,45.05,1305.55,Two year,No,DSL,Mailed check,3,0,No,1
19,82.49,1411.69,One year,No,Fiber optic,Mailed check,0,0,Yes,1
17,77.17,1215.54,Month-to-month,No,Fiber optic,Electronic check,1,0,No,1
63,103.28,6445.33,Two year,Yes,No,Bank transfer,0,1,Yes,0
19,110.61,2026.66,Month-to-month,Yes,Fiber optic,Bank transfer,0,0,Yes,1
58,21.22,1228.5,Month-to-month,No,No,Bank transfer,1,0,No,1
55,87.4,4401.27,One year,No,Fiber optic,Credit card,3,0,Yes,0
62,25.18,1451.37,Month-to-month,No,No,Electronic check,1,0,No,0
23,74.89,1612.64,Two year,Yes,No,Credit card,1,0,Yes,0
9,48.76,409.29,Two year,Yes,DSL,Mailed check,4,0,Yes,1
12,50.68,562.67,Two year,Yes,No,Mailed check,2,0,No,0
1,55.3,52.22,Month-to-month,Yes,No,Bank transfer,1,0,No,0
58,82.13,4593.15,Month-to-month,Yes,DSL,Bank transfer,1,0,Yes,0
1,53.4,49.72,One year,Yes,Fiber optic,Mailed check,0,0,Yes,1
34,93.27,2879.34,Month-to-month,Yes,DSL,Bank transfer,3,0,No,0
